"Codigo_SAP","Codigo_Litigio","Data_Abertura","Material","Nota_Fiscal","Data_Litigio","Status","Fornecedor"
"136123","2838108","24/5/2025","112982531R","000698941-1","21/05/25","NFL","FORNECEDOR"
"146712","2798301","10/4/2025","132011477R","4969-7","27/03/25","NFL","FORNECEDOR"
"146712","2822470","7/5/2025","132011477R","5287-7","27/03/25","NFL","FORNECEDOR"
"146712","2839903","27/5/2025","132011477R","5467-7","27/03/25","NFL","FORNECEDOR"
"106382","2820069","5/5/2025","223200867R","484557-5","17/04/25","NFL","FORNECEDOR"
"102294","2792400","4/4/2025","224766016R","000207159-1","04/04/25","NFL","FORNECEDOR"
"101912","2791419","4/4/2025","231000711R","000153498-7","01/04/25","NFL","FORNECEDOR"
"101912","2790336","4/4/2025","231000711R","000153516-7","01/04/25","NFL","FORNECEDOR"
"101912","2797944","10/4/2025","231000711R","000154095-7","08/04/25","NFL","FORNECEDOR"
"101912","2804612","17/4/2025","231000711R","000154940-7","16/04/25","NFL","FORNECEDOR"
"103415","2822237","7/5/2025","243229923R","209901-2","22/04/25","NFL","FORNECEDOR"
"119957","2838871","25/5/2025","278320982R","206097-1","01/04/25","NFL","FORNECEDOR"
"119957","2809333","24/4/2025","278600140R","203883-1","16/04/25","NFL","FORNECEDOR"
"122841","2796501","8/4/2025","476607676R","530931-1","07/04/25","NFL","FORNECEDOR"
"108060","2789243","2/4/2025","62010N081R","46885-3","24/03/25","NFL","FORNECEDOR"
"119957","2838871","25/5/2025","279327771R","206097-1","21/05/25","NFL","FORNECEDOR"
"119957","2838871","25/5/2025","279335128R","206097-1","21/05/25","NFL","FORNECEDOR"
"103415","2823392","8/5/2025","363157867R","210069","nan","NFL","FORNECEDOR"
"105066","2808867","24/4/2025","282436833R","107930-3","24/02/24","NFL","FORNECEDOR"
"108060","2789243","2/4/2025","62010N831R","46885-3","24/03/25","NFL","FORNECEDOR"
"105066","2808867","24/4/2025","282436956R","107930-3","24/02/24","NFL","FORNECEDOR"
"120639","2839019","25/5/2025","432007885R","182699-1","22/05/25","NFL","FORNECEDOR"
"101517","2790826","3/4/2025","484005466R","000834492-1","27/03/25","NFL","FORNECEDOR"
"101517","2808323","23/4/2025","484005466R","000836771-1","16/04/25","NFL","FORNECEDOR"
"101517","2833691","20/5/2025","484005466R","000839697-1","16/05/25","NFL","FORNECEDOR"
"101517","2836489","23/5/2025","484005466R","000840150-1","20/05/25","NFL","FORNECEDOR"
"101517","2836883","23/5/2025","484005466R","000840286-1","21/05/25","NFL","FORNECEDOR"
"101517","2794107","5/4/2025","484005466R","835208-1","03/04/25","NFL","FORNECEDOR"
"101517","2806138","19/4/2025","484005466R","836216-1","10/04/25","NFL","FORNECEDOR"
"101517","2813511","28/4/2025","484005466R","837425-1","24/04/25","NFL","FORNECEDOR"
"101517","2819742","3/5/2025","484005466R","838047-1","30/04/25","NFL","FORNECEDOR"
"101517","2827275","13/5/2025","484005466R","838730-1","08/05/25","NFL","FORNECEDOR"
"101517","2836452","23/5/2025","484005920R","000840128-1","20/05/25","NFL","FORNECEDOR"
"101517","2836488","23/5/2025","484005920R","000840148-1","20/05/25","NFL","FORNECEDOR"
"101517","2836883","23/5/2025","484005920R","000840286-1","21/05/25","NFL","FORNECEDOR"
"101517","2806138","19/4/2025","484005920R","836216-1","10/04/25","NFL","FORNECEDOR"
"101517","2813511","28/4/2025","484005920R","837425-1","24/04/25","NFL","FORNECEDOR"
"101517","2819742","3/5/2025","484005920R","838047-1","30/04/25","NFL","FORNECEDOR"
"101517","2827525","13/5/2025","484005920R","838879-1","09/05/25","NFL","FORNECEDOR"
"102294","2792195","4/4/2025","540345079R","000207093-1","02/04/25","NFL","FORNECEDOR"
"102294","2792195","4/4/2025","543219608R","000207093-1","02/04/25","NFL","FORNECEDOR"
"104535","2833808","20/5/2025","546111085R","354462-2","27/02/25","NFL","FORNECEDOR"
"112619","2807449","22/4/2025","62010J571R","808005-1","20/03/25","NFL","FORNECEDOR"
"112619","2798280","10/4/2025","62010J571R","808780-1","27/03/25","NFL","FORNECEDOR"
"112619","2838885","25/5/2025","62010J571R","809409-1","02/04/25","NFL","FORNECEDOR"
"112619","2810373","24/4/2025","62010J571R","810093-1","08/04/25","NFL","FORNECEDOR"
"112619","2824969","9/5/2025","62010J571R","811604-1","24/04/25","NFL","FORNECEDOR"
"112619","2830829","16/5/2025","62010J571R","812224-1","30/04/25","NFL","FORNECEDOR"
"112619","2823371","8/5/2025","62010J571R","812236-1","30/04/25","NFL","FORNECEDOR"
"112619","2840646","27/5/2025","62010J571R","812850-1","08/05/25","NFL","FORNECEDOR"
"112619","2839744","26/5/2025","62010J571R","813562-1","15/05/25","NFL","FORNECEDOR"
"108060","2837080","23/5/2025","62010W823R","000047707-3","23/05/25","NFL","FORNECEDOR"
"133051","2821068","6/5/2025","488109327R","000112714-0","06/05/25","NFL","FORNECEDOR"
"133051","2828144","14/5/2025","488109327R","000112755-0","12/05/25","NFL","FORNECEDOR"
"108060","2837362","23/5/2025","62010W823R","000047709-3","23/05/25","NFL","FORNECEDOR"
"133453","2808799","23/4/2025","638424203R","44279-1","nan","NFL","FORNECEDOR"
"108060","2788747","1/4/2025","620223601R","000046964-3","28/03/25","NFL","FORNECEDOR"
"108060","2788748","1/4/2025","620223601R","000046966-3","28/03/25","NFL","FORNECEDOR"
"108060","2788762","1/4/2025","620223601R","000046970-3","28/03/25","NFL","FORNECEDOR"
"108060","2788766","1/4/2025","620223601R","000046972-3","28/03/25","NFL","FORNECEDOR"
"108060","2788750","1/4/2025","620223601R","000046981-3","28/03/25","NFL","FORNECEDOR"
"108060","2789047","1/4/2025","620223601R","000047005-3","01/04/25","NFL","FORNECEDOR"
"108060","2788558","1/4/2025","620223601R","000047006-3","01/04/25","NFL","FORNECEDOR"
"108060","2789203","1/4/2025","620223601R","000047008-3","01/04/25","NFL","FORNECEDOR"
"108060","2789186","1/4/2025","620223601R","000047010-3","01/04/25","NFL","FORNECEDOR"
"108060","2789187","1/4/2025","620223601R","000047011-3","01/04/25","NFL","FORNECEDOR"
"108060","2789184","1/4/2025","620223601R","000047013-3","01/04/25","NFL","FORNECEDOR"
"108060","2789188","1/4/2025","620223601R","000047014-3","01/04/25","NFL","FORNECEDOR"
"108060","2791212","3/4/2025","620223601R","000047015-3","01/04/25","NFL","FORNECEDOR"
"108060","2789190","1/4/2025","620223601R","000047019-3","01/04/25","NFL","FORNECEDOR"
"108060","2791214","3/4/2025","620223601R","000047021-3","02/04/25","NFL","FORNECEDOR"
"108060","2791217","3/4/2025","620223601R","000047022-3","02/04/25","NFL","FORNECEDOR"
"108060","2791219","3/4/2025","620223601R","000047026-3","02/04/25","NFL","FORNECEDOR"
"108060","2791222","3/4/2025","620223601R","000047033-3","02/04/25","NFL","FORNECEDOR"
"108060","2791216","3/4/2025","620223601R","000047037-3","02/04/25","NFL","FORNECEDOR"
"108060","2791225","3/4/2025","620223601R","000047039-3","02/04/25","NFL","FORNECEDOR"
"108060","2791268","3/4/2025","620223601R","000047044-3","03/04/25","NFL","FORNECEDOR"
"108060","2792566","4/4/2025","620223601R","000047046-3","03/04/25","NFL","FORNECEDOR"
"108060","2792565","4/4/2025","620223601R","000047047-3","03/04/25","NFL","FORNECEDOR"
"108060","2791269","3/4/2025","620223601R","000047048-3","03/04/25","NFL","FORNECEDOR"
"108060","2792568","4/4/2025","620223601R","000047053-3","03/04/25","NFL","FORNECEDOR"
"108060","2792569","4/4/2025","620223601R","000047055-3","03/04/25","NFL","FORNECEDOR"
"108060","2792570","4/4/2025","620223601R","000047057-3","03/04/25","NFL","FORNECEDOR"
"108060","2792574","4/4/2025","620223601R","000047061-3","04/04/25","NFL","FORNECEDOR"
"108060","2792576","4/4/2025","620223601R","000047062-3","04/04/25","NFL","FORNECEDOR"
"108060","2792575","4/4/2025","620223601R","000047064-3","04/04/25","NFL","FORNECEDOR"
"108060","2792577","4/4/2025","620223601R","000047066-3","04/04/25","NFL","FORNECEDOR"
"108060","2792572","4/4/2025","620223601R","000047070-3","04/04/25","NFL","FORNECEDOR"
"108060","2789243","2/4/2025","62010N847R","46885-3","24/03/25","NFL","FORNECEDOR"
"102318","2789603","2/4/2025","620224263R","000240739-3","31/03/25","NFL","FORNECEDOR"
"102318","2791771","3/4/2025","620224263R","000240868-3","03/04/25","NFL","FORNECEDOR"
"102318","2835271","21/5/2025","620224263R","000242075-3","21/05/25","NFL","FORNECEDOR"
"102318","2839813","26/5/2025","620224263R","000242204-3","26/05/25","NFL","FORNECEDOR"
"102318","2843395","30/5/2025","620224263R","000242312-003","nan","NFL","FORNECEDOR"
"108060","2788747","1/4/2025","620224709R","000046964-3","28/03/25","NFL","FORNECEDOR"
"108060","2788748","1/4/2025","620224709R","000046966-3","28/03/25","NFL","FORNECEDOR"
"108060","2788762","1/4/2025","620224709R","000046970-3","28/03/25","NFL","FORNECEDOR"
"108060","2788766","1/4/2025","620224709R","000046972-3","28/03/25","NFL","FORNECEDOR"
"108060","2791212","3/4/2025","620224709R","000047015-3","01/04/25","NFL","FORNECEDOR"
"108060","2789190","1/4/2025","620224709R","000047019-3","01/04/25","NFL","FORNECEDOR"
"108060","2791219","3/4/2025","620224709R","000047026-3","02/04/25","NFL","FORNECEDOR"
"108060","2791222","3/4/2025","620224709R","000047033-3","02/04/25","NFL","FORNECEDOR"
"108060","2791225","3/4/2025","620224709R","000047039-3","02/04/25","NFL","FORNECEDOR"
"108060","2791268","3/4/2025","620224709R","000047044-3","03/04/25","NFL","FORNECEDOR"
"108060","2792566","4/4/2025","620224709R","000047046-3","03/04/25","NFL","FORNECEDOR"
"108060","2792565","4/4/2025","620224709R","000047047-3","03/04/25","NFL","FORNECEDOR"
"108060","2792568","4/4/2025","620224709R","000047053-3","03/04/25","NFL","FORNECEDOR"
"108060","2792569","4/4/2025","620224709R","000047055-3","03/04/25","NFL","FORNECEDOR"
"108060","2792570","4/4/2025","620224709R","000047057-3","03/04/25","NFL","FORNECEDOR"
"108060","2792574","4/4/2025","620224709R","000047061-3","04/04/25","NFL","FORNECEDOR"
"108060","2792576","4/4/2025","620224709R","000047062-3","04/04/25","NFL","FORNECEDOR"
"108060","2792575","4/4/2025","620224709R","000047064-3","04/04/25","NFL","FORNECEDOR"
"108060","2792577","4/4/2025","620224709R","000047066-3","04/04/25","NFL","FORNECEDOR"
"108060","2792572","4/4/2025","620224709R","000047070-3","04/04/25","NFL","FORNECEDOR"
"133453","2808796","23/4/2025","638439537R","44278-1","18/03/25","NFL","FORNECEDOR"
"108060","2791212","3/4/2025","620225005R","000047015-3","01/04/25","NFL","FORNECEDOR"
"108060","2791219","3/4/2025","620225005R","000047026-3","02/04/25","NFL","FORNECEDOR"
"108060","2791222","3/4/2025","620225005R","000047033-3","02/04/25","NFL","FORNECEDOR"
"108060","2791225","3/4/2025","620225005R","000047039-3","02/04/25","NFL","FORNECEDOR"
"108060","2791268","3/4/2025","620225005R","000047044-3","03/04/25","NFL","FORNECEDOR"
"108060","2792569","4/4/2025","620225005R","000047055-3","03/04/25","NFL","FORNECEDOR"
"108060","2792570","4/4/2025","620225005R","000047057-3","03/04/25","NFL","FORNECEDOR"
"108060","2792576","4/4/2025","620225005R","000047062-3","04/04/25","NFL","FORNECEDOR"
"108060","2792572","4/4/2025","620225005R","000047070-3","04/04/25","NFL","FORNECEDOR"
"108060","2788747","1/4/2025","620226216R","000046964-3","28/03/25","NFL","FORNECEDOR"
"108060","2788748","1/4/2025","620226216R","000046966-3","28/03/25","NFL","FORNECEDOR"
"108060","2788762","1/4/2025","620226216R","000046970-3","28/03/25","NFL","FORNECEDOR"
"108060","2788766","1/4/2025","620226216R","000046972-3","28/03/25","NFL","FORNECEDOR"
"108060","2788750","1/4/2025","620226216R","000046981-3","28/03/25","NFL","FORNECEDOR"
"108060","2789047","1/4/2025","620226216R","000047005-3","01/04/25","NFL","FORNECEDOR"
"108060","2788558","1/4/2025","620226216R","000047006-3","01/04/25","NFL","FORNECEDOR"
"108060","2789203","1/4/2025","620226216R","000047008-3","01/04/25","NFL","FORNECEDOR"
"108060","2789186","1/4/2025","620226216R","000047010-3","01/04/25","NFL","FORNECEDOR"
"108060","2789187","1/4/2025","620226216R","000047011-3","01/04/25","NFL","FORNECEDOR"
"108060","2789184","1/4/2025","620226216R","000047013-3","01/04/25","NFL","FORNECEDOR"
"108060","2789188","1/4/2025","620226216R","000047014-3","01/04/25","NFL","FORNECEDOR"
"108060","2791212","3/4/2025","620226216R","000047015-3","01/04/25","NFL","FORNECEDOR"
"108060","2789190","1/4/2025","620226216R","000047019-3","01/04/25","NFL","FORNECEDOR"
"108060","2791214","3/4/2025","620226216R","000047021-3","02/04/25","NFL","FORNECEDOR"
"108060","2791217","3/4/2025","620226216R","000047022-3","02/04/25","NFL","FORNECEDOR"
"108060","2791219","3/4/2025","620226216R","000047026-3","02/04/25","NFL","FORNECEDOR"
"108060","2791222","3/4/2025","620226216R","000047033-3","02/04/25","NFL","FORNECEDOR"
"108060","2791216","3/4/2025","620226216R","000047037-3","02/04/25","NFL","FORNECEDOR"
"108060","2791225","3/4/2025","620226216R","000047039-3","02/04/25","NFL","FORNECEDOR"
"108060","2792566","4/4/2025","620226216R","000047046-3","03/04/25","NFL","FORNECEDOR"
"108060","2792565","4/4/2025","620226216R","000047047-3","03/04/25","NFL","FORNECEDOR"
"108060","2791269","3/4/2025","620226216R","000047048-3","03/04/25","NFL","FORNECEDOR"
"108060","2792568","4/4/2025","620226216R","000047053-3","03/04/25","NFL","FORNECEDOR"
"108060","2792570","4/4/2025","620226216R","000047057-3","03/04/25","NFL","FORNECEDOR"
"108060","2792577","4/4/2025","620226216R","000047066-3","04/04/25","NFL","FORNECEDOR"
"108060","2792572","4/4/2025","620226216R","000047070-3","04/04/25","NFL","FORNECEDOR"
"137008","2814909","30/4/2025","671A06064R","53508-1","03/04/25","NFL","FORNECEDOR"
"137008","2822573","8/5/2025","671A06064R","54040-1","29/04/25","NFL","FORNECEDOR"
"132610","2797733","10/4/2025","668356799R","000083575-1","08/04/25","NFL","FORNECEDOR"
"132610","2835500","22/5/2025","668356799R","000084593-1","20/05/25","NFL","FORNECEDOR"
"132610","2838025","24/5/2025","668356799R","000084594-1","20/05/25","NFL","FORNECEDOR"
"132610","2796562","8/4/2025","682380471R","82709-1","05/03/25","NFL","FORNECEDOR"
"132610","2796634","8/4/2025","682380471R","83227-1","25/03/25","NFL","FORNECEDOR"
"132610","2804121","17/4/2025","682387457R","000083751-1","15/04/25","NFL","FORNECEDOR"
"102294","2808192","23/4/2025","671E51867R","000207697-1","23/04/25","NFL","FORNECEDOR"
